Name,H1573_CT_1,H1573_CT_2,H1573_CT_3,H1573_CDDP_1,H1573_CDDP_2,H1573_CDDP_3
WASH7P,9.62681808787605,11.6560768496138,8.8150412123973,24.5510840369811,25.8189178068368,17.9277727623858
LOC100996442,1.54187230154894,1.66837463611494,1.67770139203691,2.55550317113558,2.51482965651008,1.95252970679449
LOC729737,14.4896461158381,12.602992183625,11.999830295586,21.7217769546524,16.136823629273,8.28345936215844
DDX11L17,0.0593027808288052,0.0676368095722274,0.142178084070924,0.821411733579292,0.712535069344522,0.295837834362801
WASH9P,12.6117247229259,14.5644596612196,11.0898905575321,30.8485739944223,35.6686672948346,24.4362051183674
LOC112268260,0.494189840240044,0.518548873387076,1.36490960708087,1.27775158556779,0.880190379778527,1.24251890432377
LOC100132287,14.8256952072013,12.1520801198102,9.69654533363703,17.1583784347674,13.0352003862439,7.33677829219747
MIR12136,57.2271834997971,69.6208226530127,68.2454803540436,72.2842325549777,133.327885622643,31.5954807099472
LOC100133331,10.5163598003081,8.95060446672475,7.39326037168806,12.5949799148825,9.64018034995529,5.2067458847853
LOC107984841,3.02444182226907,3.04365643075023,2.47389866283408,3.01184302312407,2.13760520803357,1.42002160494145
LOC107984847,4.11165947079716,3.74257012966325,3.81037265310077,3.28564693431717,3.10162324302909,2.42587024177497
LOC107984849,0.770936150774468,1.0596433499649,0.426534252212773,0.456339851988496,0.419138276085013,0.355005401235362
LOC100288069,1.99652695456978,2.05164989035756,1.8767507097362,5.93241807585044,5.28114227867116,3.01754591050057
LINC01409,0.593027808288052,0.473457667005591,0.568712336283697,2.19043128954478,1.38315631108054,0.946681069960964
FAM87B,0.197675936096017,0.18036482552594,0.170613700885109,2.00789534874938,2.89205410498659,1.06501620370608
LINC00115,0.296513904144026,0.563640079768561,0.341227401770218,4.65466649028266,4.48477955410964,1.77502700617681
LINC01128,9.70588846231446,9.44660773692109,7.64918092301572,12.138640062894,11.2329057990783,9.64431340022732
LOC284600,0.691865776336061,0.901824127629698,0.142178084070924,2.64677114153328,2.55674348411858,0.650843235598163
LINC02593,5.13957433849645,6.01967605192823,1.3080383734525,2.28169925994248,1.88612224238256,0.355005401235362
LOC107985728,7.80819947579269,9.31133411777663,2.07580002743549,6.84509777982744,6.11941883084119,0.828345936215844
SAMD11,39.7921659361283,40.7624505688623,13.3363042858527,26.7415153265258,30.0941282229039,16.0344106224638
